,DEPTH,TVD,GR,NPHI,PHIF,RHOB,RT,VP
560,660.654,629.2639,111.355,,,2.065,1.529,[nan]
561,660.8064,629.3829,110.513,,,2.027,1.531,[nan]
562,660.9588,629.5019,108.829,,,1.974,1.535,[nan]
563,661.1112,629.6209,107.987,,,1.961,1.535,[nan]
564,661.2636,629.7399,107.061,,,1.962,1.264,[nan]
565,661.416,629.8589,107.413,,,1.962,1.237,[nan]
566,661.5684,629.978,108.118,,,1.963,0.907,[nan]
567,661.7208,630.097,108.47,,,1.963,1.472,[nan]
568,661.8732,630.2159,109.175,,,1.966,1.523,[nan]
569,662.0256,630.335,109.527,,,1.968,1.076,[nan]
570,662.178,630.454,109.985,,,1.968,1.176,[nan]
571,662.3304,630.5731,109.512,,,1.968,1.226,[nan]
572,662.4828,630.6921,108.568,0.5243,,1.97,1.326,[2161.5886]
573,662.6352,630.8111,108.095,0.5518,,1.971,1.376,[2177.1216]
574,662.7876,630.9301,107.15,0.6066,,1.971,1.476,[2140.9534]
575,662.94,631.0491,106.678,0.6175,,1.971,1.496,[2134.623]
576,663.0924,631.1682,105.733,0.7807,,1.972,1.562,[2127.5806]
577,663.2448,631.2872,105.261,0.7807,,1.972,1.595,[2119.763]
578,663.3972,631.4062,104.316,0.6675,,1.998,1.628,[2138.4307]
579,663.5496,631.5252,103.844,0.5786,,2.011,1.652,[2148.3127]
580,663.702,631.6442,103.041,0.4897,,2.024,1.677,[2173.6235]
581,663.8544,631.7632,103.041,0.5487,,2.038,1.731,[2224.3433]
582,664.0068,631.8813,103.041,0.5517,,2.046,1.753,[2234.9468]
583,664.1592,631.9993,102.718,0.4671,,2.061,1.763,[2207.7417]
584,664.3116,632.1174,102.557,0.4248,,2.068,1.767,[2194.4219]
585,664.464,632.2355,102.235,0.3994,,2.069,1.777,[2181.264]
586,664.6164,632.3536,102.073,0.3994,,2.07,1.778,[2181.7017]
587,664.7688,632.4717,,0.376,,2.073,1.712,[nan]
588,664.9212,632.5897,,0.3643,,2.074,1.705,[nan]
589,665.0736,632.7078,,0.4505,,2.074,1.659,[nan]
590,665.226,632.8259,,0.4634,,2.074,1.642,[nan]
591,665.3784,632.944,,0.4625,,2.067,1.615,[nan]
592,665.5308,633.062,,0.4624,,2.066,1.603,[nan]
593,665.6832,633.1801,,0.3992,,2.065,1.586,[nan]
