,DEPTH,VP,RHOB,AI
0,575.31,,,
1,575.4624,,,
2,575.6148,,,
3,575.7672,,,
4,575.9196,,,
5,576.072,,,
6,576.2244,,,
7,576.3768,,,
8,576.5292,,,
9,576.6816,,,
10,576.834,,,
11,576.9864,,,
12,577.1388,,,
13,577.2912,,,
14,577.4436,,,
15,577.596,,,
16,577.7484,,,
17,577.9008,,,
18,578.0532,,,
19,578.2056,,,
20,578.358,,,
21,578.5104,,,
22,578.6628,,,
23,578.8152,,,
24,578.9676,,,
25,579.12,,,
26,579.2724,,,
27,579.4248,,,
28,579.5772,,,
29,579.7296,,,
30,579.882,,,
31,580.0344,,,
32,580.1868,,,
33,580.3392,,,
34,580.4916,,,
35,580.644,,,
36,580.7964,,,
37,580.9488,,,
38,581.1012,,,
39,581.2536,,,
40,581.406,,,
41,581.5584,,,
42,581.7108,,,
43,581.8632,,,
44,582.0156,,,
45,582.168,,,
46,582.3204,,,
47,582.4728,,,
48,582.6252,,,
49,582.7776,,,
50,582.93,,,
51,583.0824,,,
52,583.2348,,,
53,583.3872,,,
54,583.5396,,,
55,583.692,,,
56,583.8444,,,
57,583.9968,,,
58,584.1492,,,
59,584.3016,,,
60,584.454,,,
61,584.6064,,,
62,584.7588,,,
63,584.9112,,,
64,585.0636,,,
65,585.216,,,
66,585.3684,,,
67,585.5208,,,
68,585.6732,,,
69,585.8256,,,
70,585.978,,,
71,586.1304,,,
72,586.2828,,,
73,586.4352,,,
74,586.5876,,,
75,586.74,,,
76,586.8924,,,
77,587.0448,,,
78,587.1972,,,
79,587.3496,,,
80,587.502,,,
81,587.6544,,,
82,587.8068,,,
83,587.9592,,,
84,588.1116,,,
85,588.264,,,
86,588.4164,,,
87,588.5688,,,
88,588.7212,,,
89,588.8736,,,
90,589.026,,,
91,589.1784,,,
92,589.3308,,,
93,589.4832,,,
94,589.6356,,,
95,589.788,,,
96,589.9404,,,
97,590.0928,,,
98,590.2452,,,
99,590.3976,,,
100,590.55,,,
101,590.7024,,,
102,590.8548,,,
103,591.0072,,,
104,591.1596,,,
105,591.312,,,
106,591.4644,,,
107,591.6168,,,
108,591.7692,,,
109,591.9216,,,
110,592.074,,,
111,592.2264,,,
112,592.3788,,,
113,592.5312,,,
114,592.6836,,,
115,592.836,,,
116,592.9884,,,
117,593.1408,,,
118,593.2932,,,
119,593.4456,,,
120,593.598,,,
121,593.7504,,,
122,593.9028,,,
123,594.0552,,,
124,594.2076,,,
125,594.36,,,
126,594.5124,,,
127,594.6648,,,
128,594.8172,,,
129,594.9696,,,
130,595.122,,,
131,595.2744,,,
132,595.4268,,,
133,595.5792,,,
134,595.7316,,,
135,595.884,,,
136,596.0364,,,
137,596.1888,,,
138,596.3412,,,
139,596.4936,,,
140,596.646,,,
141,596.7984,,,
142,596.9508,,,
143,597.1032,,,
144,597.2556,,,
145,597.408,,,
146,597.5604,,,
147,597.7128,,,
148,597.8652,,,
149,598.0176,,,
150,598.17,,,
151,598.3224,,,
152,598.4748,,,
153,598.6272,,,
154,598.7796,,,
155,598.932,,,
156,599.0844,,,
157,599.2368,,,
158,599.3892,,,
159,599.5416,,,
160,599.694,,,
161,599.8464,,,
162,599.9988,,,
163,600.1512,,,
164,600.3036,,,
165,600.456,,,
166,600.6084,,,
167,600.7608,,,
168,600.9132,,,
169,601.0656,,,
170,601.218,,,
171,601.3704,,,
172,601.5228,,,
173,601.6752,,,
174,601.8276,,,
175,601.98,,,
176,602.1324,,,
177,602.2848,,,
178,602.4372,,,
179,602.5896,,,
180,602.742,,,
181,602.8944,,,
182,603.0468,,,
183,603.1992,,,
184,603.3516,,,
185,603.504,,,
186,603.6564,,,
187,603.8088,,,
188,603.9612,,,
189,604.1136,,,
190,604.266,,,
191,604.4184,,,
192,604.5708,,,
193,604.7232,,,
194,604.8756,,,
195,605.028,,,
196,605.1804,,,
197,605.3328,,,
198,605.4852,,,
199,605.6376,,,
200,605.79,,,
201,605.9424,,,
202,606.0948,,,
203,606.2472,,,
204,606.3996,,,
205,606.552,,,
206,606.7044,,,
207,606.8568,,,
208,607.0092,,,
209,607.1616,,,
210,607.314,,,
211,607.4664,,,
212,607.6188,,,
213,607.7712,,,
214,607.9236,,,
215,608.076,,,
216,608.2284,,,
217,608.3808,,,
218,608.5332,,,
219,608.6856,,,
220,608.838,,,
221,608.9904,,,
222,609.1428,,,
223,609.2952,,,
224,609.4476,,,
225,609.6,,,
226,609.7524,,,
227,609.9048,,,
228,610.0572,,,
229,610.2096,,,
230,610.362,,,
231,610.5144,,,
232,610.6668,,,
233,610.8192,,,
234,610.9716,,,
235,611.124,,,
236,611.2764,,,
237,611.4288,,,
238,611.5812,,,
239,611.7336,,,
240,611.886,,,
241,612.0384,,,
242,612.1908,,,
243,612.3432,,,
244,612.4956,,,
245,612.648,,,
246,612.8004,,,
247,612.9528,,,
248,613.1052,,,
249,613.2576,,,
250,613.41,,,
251,613.5624,,,
252,613.7148,,,
253,613.8672,,,
254,614.0196,,,
255,614.172,,,
256,614.3244,,,
257,614.4768,,,
258,614.6292,,,
259,614.7816,,,
260,614.934,,,
261,615.0864,,,
262,615.2388,,,
263,615.3912,,,
264,615.5436,,,
265,615.696,,,
266,615.8484,,,
267,616.0008,,,
268,616.1532,,,
269,616.3056,,,
270,616.458,,,
271,616.6104,,,
272,616.7628,,,
273,616.9152,,,
274,617.0676,,,
275,617.22,,,
276,617.3724,,,
277,617.5248,,,
278,617.6772,,,
279,617.8296,,,
280,617.982,,,
281,618.1344,,,
282,618.2868,,,
283,618.4392,,,
284,618.5916,,,
285,618.744,,,
286,618.8964,,,
287,619.0488,,,
288,619.2012,,,
289,619.3536,,,
290,619.506,,,
291,619.6584,,,
292,619.8108,,,
293,619.9632,,,
294,620.1156,,,
295,620.268,,,
296,620.4204,,,
297,620.5728,,,
298,620.7252,,,
299,620.8776,,,
300,621.03,,,
301,621.1824,,,
302,621.3348,,,
303,621.4872,,,
304,621.6396,,,
305,621.792,,,
306,621.9444,,,
307,622.0968,,,
308,622.2492,,,
309,622.4016,,,
310,622.554,,,
311,622.7064,,,
312,622.8588,,,
313,623.0112,,,
314,623.1636,,,
315,623.316,,,
316,623.4684,,,
317,623.6208,,,
318,623.7732,,,
319,623.9256,,,
320,624.078,,,
321,624.2304,,,
322,624.3828,,,
323,624.5352,,,
324,624.6876,,,
325,624.84,,,
326,624.9924,,,
327,625.1448,,,
328,625.2972,,,
329,625.4496,,,
330,625.602,,,
331,625.7544,,,
332,625.9068,,,
333,626.0592,,,
334,626.2116,,,
335,626.364,,,
336,626.5164,,,
337,626.6688,,,
338,626.8212,,,
339,626.9736,,,
340,627.126,,,
341,627.2784,,,
342,627.4308,,,
343,627.5832,,,
344,627.7356,,,
345,627.888,,,
346,628.0404,,,
347,628.1928,,,
348,628.3452,,,
349,628.4976,,,
350,628.65,,,
351,628.8024,,,
352,628.9548,,,
353,629.1072,,,
354,629.2596,,,
355,629.412,,,
356,629.5644,,,
357,629.7168,,,
358,629.8692,,,
359,630.0216,,,
360,630.174,,,
361,630.3264,,,
362,630.4788,,,
363,630.6312,,,
364,630.7836,,,
365,630.936,,,
366,631.0884,,,
367,631.2408,,,
368,631.3932,,,
369,631.5456,,,
370,631.698,,,
371,631.8504,,,
372,632.0028,,,
373,632.1552,,,
374,632.3076,,,
375,632.46,,,
376,632.6124,,,
